"Overall Rank (1=Best)","City","State","Overall Score","Equality Rank","Community Support Rank","Affordability Rank","Health Care Access Rank","Pride-Readiness Rank"
"117","Savannah","GA","33.36","144","44","180","77","40"
"118","Stockton","CA","33.34","66","155","146","196","120"
"119","Thornton","CO","33.11","3","162","21","156","196"
"120","Escondido","CA","32.69","58","182","165","121","154"
"121","Corona","CA","32.64","68","186","103","118","165"
"122","Newport News","VA","32.55","98","97","168","138","199"
"123","Fontana","CA","32.50","79","157","101","197","192"
"124","Kansas City","KS","32.48","142","73","100","90","44"
"125","Joliet","IL","32.13","82","194","22","161","200"
"126","Des Moines","IA","32.07","114","106","67","75","67"
"127","Moreno Valley","CA","32.03","68","185","129","146","182"
"128","Springfield","MA","31.75","60","148","199","152","180"
"129","Fort Worth","TX","31.70","132","88","31","129","91"
"130","Hampton","VA","31.60","96","118","128","141","167"
"131","Salinas","CA","31.39","62","191","163","188","166"
"132","Oxnard","CA","30.88","75","195","149","179","132"
"133","Lincoln","NE","30.80","124","92","75","131","188"
"134","Ontario","CA","30.70","79","184","169","148","155"
"135","Garden Grove","CA","30.45","68","183","188","191","152"
"136","Charleston","SC","30.31","149","103","47","28","33"
"137","Newark","NJ","30.29","81","144","200","144","138"
"138","Little Rock","AR","30.18","157","80","53","53","89"
"139","Tempe","AZ","29.74","110","116","60","88","101"
"140","Oklahoma City","OK","29.73","171","69","68","92","50"
"141","Chesapeake","VA","29.69","97","192","37","107","176"
"142","Tucson","AZ","29.25","126","100","177","64","72"
"143","Bridgeport","CT","29.23","90","175","189","100","179"
"144","Miami","FL","28.90","176","105","158","30","7"
"145","Chattanooga","TN","28.78","158","79","73","71","111"
"146","El Paso","TX","28.41","150","83","145","176","70"
"147","Jacksonville","FL","27.48","184","60","80","149","81"
"148","Wichita","KS","27.48","113","139","88","119","97"
"149","Fort Wayne","IN","26.95","159","75","125","163","123"
"150","Paterson","NJ","26.77","83","200","198","198","197"
"151","Chandler","AZ","26.10","143","138","8","126","122"
"152","Mesa","AZ","26.04","125","152","52","127","127"
"153","Sioux Falls","SD","25.91","145","128","9","124","121"
"154","Olathe","KS","25.90","137","173","3","151","186"
"155","Fayetteville","NC","25.70","151","87","172","139","168"
"156","Denton","TX","25.39","140","114","113","51","175"
"157","Warren","MI","25.38","108","189","123","79","195"
"158","Knoxville","TN","25.14","155","108","93","76","82"
"159","Montgomery","AL","24.45","182","66","156","173","153"
"160","Huntsville","AL","24.40","196","90","17","115","104"
"161","Plano","TX","23.99","160","135","7","73","145"
"162","Tallahassee","FL","23.90","174","98","159","56","96"
"163","Peoria","AZ","23.61","146","161","10","174","174"
"164","Glendale","AZ","23.39","121","178","111","166","151"
"165","Lubbock","TX","23.25","188","89","84","154","125"
"166","Murfreesboro","TN","22.89","192","95","26","112","190"
"167","Memphis","TN","22.61","155","127","97","162","75"
"168","Hollywood","FL","22.23","161","107","134","134","142"
"169","Tulsa","OK","22.03","171","119","79","102","102"
"170","Jackson","MS","22.00","138","168","190","54","85"
"171","Corpus Christi","TX","21.77","169","130","82","187","51"
"172","Arlington","TX","21.63","132","190","87","160","130"
"173","Surprise","AZ","20.55","147","146","39","189","129"
"174","Frisco","TX","20.52","180","197","1","59","170"
"175","McKinney","TX","20.39","188","147","6","106","149"
"176","Baton Rouge","LA","20.20","170","143","167","104","68"
"177","Shreveport","LA","20.07","148","176","161","96","115"
"178","Columbus","GA","19.78","166","142","147","175","95"
"179","Carrollton","TX","19.63","180","115","29","135","183"
"180","Mobile","AL","19.56","185","129","160","171","30"
"181","Waco","TX","19.44","173","136","102","168","131"
"182","Irving","TX","19.31","168","171","30","183","164"
"183","Clarksville","TN","18.58","167","150","148","165","133"
"184","Port St. Lucie","FL","18.56","179","137","71","169","148"
"185","West Valley City","UT","18.48","152","193","85","195","198"
"186","Cape Coral","FL","18.09","191","154","107","128","52"
"187","Amarillo","TX","17.68","183","165","44","184","146"
"188","McAllen","TX","17.64","199","140","38","170","86"
"189","Macon","GA","17.14","175","133","117","164","185"
"190","Grand Prairie","TX","16.74","187","167","65","137","177"
"191","Pembroke Pines","FL","16.60","186","160","98","145","158"
"192","Brownsville","TX","16.02","177","196","86","200","118"
"193","Mesquite","TX","15.18","177","199","99","193","194"
"194","Killeen","TX","15.03","193","158","178","157","107"
"195","Laredo","TX","14.68","197","170","66","199","181"
"196","Augusta","GA","14.56","190","188","116","158","139"
"197","Pasadena","TX","14.56","194","178","78","194","171"
"198","Garland","TX","13.63","195","177","139","181","184"
"199","Miramar","FL","12.74","200","125","96","178","189"
"200","Hialeah","FL","10.75","198","187","196","177","169"
